,,,,,,,,,,,,,,,,,,
Index,Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Origin Channel,Country/Region,City,State,Postal Code,Region,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit
27,CA-2019-121755,16/1/2019,Second Class,EH-13945,Eric Hoffmann,Email,United States,Los Angeles,California,90049,West,Special Projects Muesil,Gluten Free,TEC-AC-10003027,90.57,3,0,11.7741
45,CA-2019-118255,11/3/2019,First Class,ON-18715,Odella Nelson,Sales,United States,Eagan,Minnesota,55122,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000171,45.98,2,0,19.7714
48,CA-2019-169194,20/6/2019,Standard Class,LH-16900,Lena Hernandez,Email,United States,Dover,Delaware,19901,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,45,3,0,4.95
60,CA-2019-111682,17/6/2019,First Class,TB-21055,Ted Butterfield,Email,United States,Troy,New York,12180,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,30,2,0,3.3
63,CA-2018-135545,24/11/2018,Standard Class,KM-16720,Kunst Miller,Email,United States,Los Angeles,California,90004,West,Special Projects Muesil,Gluten Free,TEC-AC-10004633,13.98,2,0,6.1512
87,CA-2020-155558,26/10/2020,Standard Class,PG-18895,Paul Gonzalez,Email,United States,Rochester,Minnesota,55901,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001998,19.99,1,0,6.7966
101,CA-2019-158568,29/8/2019,Standard Class,RB-19465,Rick Bensley,Facebook,United States,Chicago,Illinois,60610,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001767,95.976,3,0.2,-10.7973
104,US-2018-156867,13/11/2018,Standard Class,LC-16870,Lena Cacioppo,Email,United States,Aurora,Colorado,80013,West,Special Projects Muesil,Gluten Free,TEC-AC-10001552,238.896,6,0.2,-26.8758
107,CA-2020-119004,23/11/2020,Standard Class,JM-15250,Janet Martin,Email,United States,Charlotte,North Carolina,28205,South,Special Projects Muesil,Gluten Free,TEC-AC-10003499,74.112,8,0.2,17.6016
110,CA-2018-129476,15/10/2018,Standard Class,PA-19060,Pete Armstrong,Facebook,United States,Orland Park,Illinois,60462,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000844,339.96,5,0.2,67.992
162,CA-2018-119697,28/12/2018,Second Class,EM-13960,Eric Murdock,Email,United States,Philadelphia,Pennsylvania,19134,East,Special Projects Muesil,Gluten Free,TEC-AC-10003657,54.384,2,0.2,1.3596
